fecha;canal;sku;descripcion;marca;categoria;cantidad;venta_bruta_clp;costo_total_clp;margen_clp;margen_pct;estado_orden;estado_despacho;fuente;num_pedido;num_suborden
2026-04-01;Bfresh;R1101;Panel Calefactor 425W;B-Fresh;Calefacción;1;52990.00;18269;13791.88;0.3097;Regular;;bsale;Bfresh-1050;85488
2026-04-01;Bfresh;R1101;Panel Calefactor 425W;B-Fresh;Calefacción;1;52990.00;18269;10491.88;0.2356;Regular;;bsale;Bfresh-1048;574032
2026-04-01;Bfresh;R6601;Estufa Infraroja Bfresh BF-IR10;B-Fresh;Calefacción Interior;1;72990.00;30315;13846.92;0.2258;Regular;;bsale;Bfresh-1051;574209
2026-04-01;Bfresh;R6603;Estufa de Patio a Gas Baja Bfresh BF-G100;B-Fresh;Calefacción Exterior;1;159990.00;73856;19644.40;0.1461;Regular;;bsale;Bfresh-1049;574180
2026-04-01;Cotización;R6603;Estufa de Patio a Gas Baja Bfresh BF-G100;B-Fresh;Calefacción Exterior;2;319980.00;147712;42589.52;0.1584;Regular;;bsale;42014;85479
2026-04-01;Cotización;R6603;Estufa de Patio a Gas Baja Bfresh BF-G100;B-Fresh;Calefacción Exterior;4;639960.00;295424;88479.04;0.1645;Regular;;bsale;42013;85478
2026-04-01;Falabella;R1008;Bandas Suspensión TRX;K-Fit;Fitness y Entrenamiento;1;9990.00;6625;-1841.13;-0.2193;Regular;Entregado;wivo;3230535444;3230535444
2026-04-01;Falabella;R1008;Bandas Suspensión TRX;K-Fit;Fitness y Entrenamiento;1;9990.00;6625;-1841.13;-0.2193;Regular;Entregado;wivo;3230576550;3230576550
2026-04-01;Falabella;R1008;Bandas Suspensión TRX;K-Fit;Fitness y Entrenamiento;1;9990.00;6625;-1841.13;-0.2193;Regular;Entregado;wivo;3230529476;3230529476
2026-04-01;Falabella;R1008;Bandas Suspensión TRX;K-Fit;Fitness y Entrenamiento;1;9990.00;6625;-1841.13;-0.2193;Regular;Sin Información;wivo;3230535444;3230535444
2026-04-01;Falabella;R1008;Bandas Suspensión TRX;K-Fit;Fitness y Entrenamiento;1;9990.00;6625;-1841.13;-0.2193;Regular;Sin Información;wivo;3230529476;3230529476
2026-04-01;Falabella;R1008;Bandas Suspensión TRX;K-Fit;Fitness y Entrenamiento;1;9990.00;6625;-1841.13;-0.2193;Regular;Sin Información;wivo;3230576550;3230576550
2026-04-01;Falabella;R1017;Toldo Brazo Retráctil Terrazas 3x2.5Mts Beige;Vincenzi;Toldos y Quitasoles;1;179990.00;69297;31252.42;0.1984;Regular;Sin Información;wivo;3230591633;3230591633
2026-04-01;Falabella;R1017;Toldo Brazo Retráctil Terrazas 3x2.5Mts Beige;Vincenzi;Toldos y Quitasoles;1;179990.00;69297;31252.42;0.1984;Regular;Entregado;wivo;3230591633;3230591633
2026-04-01;Falabella;R1032;Baño Ecológico Pet Potty Mascotas;PetWoow;Higiene y Limpieza perros;2;35980.00;11404;8527.19;0.2604;Regular;Entregado;wivo;3230540393;3230540393
2026-04-01;Falabella;R1032;Baño Ecológico Pet Potty Mascotas;PetWoow;Higiene y Limpieza perros;2;35980.00;11404;8527.19;0.2604;Regular;Sin Información;wivo;3230540393;3230540393
2026-04-01;Falabella;R1092;Mochila Hidratación 2L Turquesa;Miglú;Accesorios Outdoor;1;15990.00;5356;2940.87;0.2189;Regular;Sin Información;wivo;3230475038;3230475038
2026-04-01;Falabella;R1092;Mochila Hidratación 2L Turquesa;Miglú;Accesorios Outdoor;1;15990.00;5356;2940.87;0.2189;Regular;Entregado;wivo;3230475038;3230475038
2026-04-01;Falabella;R1190;Baño Químico Portátil Miglú 20lt + Ducha Solar;Miglú;Accesorios Camping;1;99990.00;39026;15880.38;0.1817;Regular;Entregado;wivo;3230471613;3230471613
2026-04-01;Falabella;R1190;Baño Químico Portátil Miglú 20lt + Ducha Solar;Miglú;Accesorios Camping;1;89990.00;39026;10430.97;0.1273;Regular;Entregado;wivo;3230528668;3230528668
